movie_id,actor_name,character,cast_order
22,Johnny Depp,Jack Sparrow,0
22,Geoffrey Rush,Barbossa,1
22,Orlando Bloom,Will Turner,2
22,Keira Knightley,Elizabeth Swann,3
22,Jack Davenport,Norrington,4
22,Jonathan Pryce,Governor Weatherby Swann,5
22,Lee Arenberg,Pintel,6
22,Mackenzie Crook,Ragetti,7
22,Damian O'Hare,Lt. Gillette,8
22,Giles New,Murtogg,9
22,Angus Barnett,Mullroy,10
58,Johnny Depp,Jack Sparrow,0
58,Orlando Bloom,Will Turner,1
58,Keira Knightley,Elizabeth Swann,2
58,Jack Davenport,Norrington,3
58,Bill Nighy,Davy Jones,4
58,Jonathan Pryce,Governor Weatherby Swann,5
58,Lee Arenberg,Pintel,6
58,Mackenzie Crook,Ragetti,7
58,Kevin McNally,Gibbs,8
58,David Bailie,Cotton,9
58,Stellan Skarsgård,Bootstrap Bill,10
75,Jack Nicholson,President Dale / Art Land,0
75,Glenn Close,Marsha Dale,1
75,Annette Bening,Barbara Land,2
75,Pierce Brosnan,Donald Kessler,3
75,Danny DeVito,Rude Gambler,4
75,Martin Short,Jerry Ross,5
75,Sarah Jessica Parker,Nathalie Lake,6
75,Michael J. Fox,Jason Stone,7
75,Rod Steiger,General Decker,8
75,Tom Jones,Tom Jones,9
75,Lukas Haas,Richie Norris,10
81,Sumi Shimamoto,Nausicaä (voice),0
81,Ichiro Nagai,Mito (voice),1
81,Gorō Naya,Yupa (voice),2
81,Yoji Matsuda,Asbel (voice),3
81,Yoshiko Sakakibara,Kushana (voice),4
81,Iemasa Kayumi,Kurotowa (voice),5
81,Hisako Kyoda,Obaba (voice),6
81,Mahito Tsujimura,Jihl (voice),7
81,Mina Tominaga,Lastel (voice),8
81,Kohei Miyauchi,Gol (voice),9
81,Joji Yanami,Gikkuri (voice),10
118,Johnny Depp,Willy Wonka,0
118,Freddie Highmore,Charlie Bucket,1
118,David Kelly,Grandpa Joe,2
118,Helena Bonham Carter,Mrs. Bucket,3
118,Noah Taylor,Mr. Bucket,4
118,Missi Pyle,Mrs. Beauregarde,5
118,James Fox,Mr. Salt,6
118,Deep Roy,Oompa Loompa,7
118,Christopher Lee,Dr. Wonka,8
118,Adam Godley,Mr. Teavee,9
118,Franziska Troegner,Mrs. Gloop,10
120,Elijah Wood,Frodo,0
120,Ian McKellen,Gandalf,1
120,Viggo Mortensen,Aragorn,2
120,Sean Astin,Sam,3
120,Ian Holm,Bilbo,4
120,Liv Tyler,Arwen,5
120,Christopher Lee,Saruman,6
