genre_name,total_movies,avg_rating,avg_popularity,avg_revenue,avg_budget
Fantasy,1002,6.76,6.7,136017910.0,44154501.0
Adventure,416,6.78,9.27,212992380.0,65007311.0
Comedy,384,6.64,7.17,122566814.0,40703988.0
Family,366,6.8,8.05,156860523.0,50885623.0
Animation,284,7.21,9.69,132557335.0,33895063.0
Action,276,6.62,6.29,167747309.0,60585139.0
Drama,235,6.95,4.39,62632858.0,26502744.0
Romance,151,6.84,5.68,134846493.0,36393945.0
Horror,134,6.41,4.17,40834964.0,19319828.0
Sci-Fi,112,6.53,6.56,65257078.0,31841773.0
Thriller,80,6.32,3.78,51674790.0,25794625.0
Crime,18,6.77,5.92,114337564.0,25011111.0
