movie_id,title,release_date,release_year,rating,popularity,category,runtime,budget,revenue,director,overview,roi_percent
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003-07-09,2003,7.8,21.8846,Sword and Sorcery,143,140000000,655011224,Gore Verbinski,"When wily pirate Captain Barbossa seizes Jack Sparrow’s beloved ship, the Black Pearl, and kidnaps the governor’s daughter, Elizabeth Swann, blacksmith Will Turner reluctantly teams up with the unpredictable pirate Jack to rescue her—only to uncover a terrifying curse that turns Barbossa’s crew into the undead.",367.87
58,Pirates of the Caribbean: Dead Man's Chest,2006-07-06,2006,7.4,21.8297,Sword and Sorcery,151,200000000,1066179747,Gore Verbinski,"Captain Jack Sparrow’s got a blood debt to pay: he owes his soul to the legendary Davy Jones, ghastly Ruler of the Ocean Depths. To escape eternal servitude aboard the Flying Dutchman, ever-crafty Jack must track down the still-beating heart of Jones. But he won’t do it alone: Will Turner and Elizabeth Swann are drawn back into another one of his perilous quests—assuming they can evade execution for aiding a pirate.",433.09
75,Mars Attacks!,1996-12-13,1996,6.4,9.1523,Fantasy Epic,106,70000000,101371017,Tim Burton,"A fleet of Martian spacecraft surrounds the world's major cities and all of humanity waits to see if the extraterrestrial visitors have, as they claim, ""come in peace."" U.S. President James Dale receives assurance from science professor Donald Kessler that the Martians' mission is a friendly one. But when a peaceful exchange ends in the total annihilation of the U.S. Congress, military men call for a full-scale nuclear retaliation.",44.82
81,Nausicaä of the Valley of the Wind,1984-03-11,1984,7.9,8.2734,Fantasy Epic,117,1000000,9016411,Hayao Miyazaki,"After a global war, the seaside kingdom known as the Valley of the Wind remains one of the last strongholds on Earth untouched by a poisonous jungle and the powerful insects that guard it. Led by the courageous Princess Nausicaä, the people of the Valley engage in an epic struggle to restore the bond between humanity and Earth.",801.64
118,Charlie and the Chocolate Factory,2005-07-13,2005,7.0,14.258,Fantasy Epic,115,150000000,475000000,Tim Burton,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",216.67
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,2001,8.4,33.9804,Sword and Sorcery,179,93000000,871368364,Peter Jackson,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",836.96
121,The Lord of the Rings: The Two Towers,2002-12-18,2002,8.4,25.8225,Sword and Sorcery,179,79000000,926287400,Peter Jackson,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",1072.52
122,The Lord of the Rings: The Return of the King,2003-12-17,2003,8.5,33.4367,Sword and Sorcery,201,94000000,1118888979,Peter Jackson,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",1090.31
123,The Lord of the Rings,1978-11-15,1978,6.6,6.1143,Fantasy Epic,132,4000000,30477175,Ralph Bakshi,"Young Hobbit Frodo Baggins is thrown into an amazing adventure when he's tasked with destroying the One Ring, created by the dark lord Sauron. Frodo must travel in a small fellowship of nine warriors and accomplices. But it won't be an easy journey for the Fellowship of the Ring, on the ultimate quest to rid Middle-earth of evil.",661.93
128,Princess Mononoke,1997-07-12,1997,8.3,15.5974,Fantasy Epic,134,23500000,176506186,Hayao Miyazaki,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",651.09
