movie_id,title,original_title,original_language,overview,tagline,status,homepage,imdb_id,runtime,budget,revenue,popularity,vote_average,vote_count,release_date,adult,video,poster_path,backdrop_path,collection_id,collection_name,director,last_updated
129,Spirited Away,千と千尋の神隠し,ja,"A young girl, Chihiro, becomes trapped in a strange new world of spirits. When her parents undergo a mysterious transformation, she must call upon the courage she never knew she had to free her family.",Beyond the tunnel was a mysterious town.,Released,https://gkids.com/films/spirited-away,tt0245429,125,19000000,274925095,30.4319,8.534,18176,2001-07-20,False,False,/39wmItIWsg5sZMyRUHLkWBcuVCM.jpg,/dyJvKsNs2KP8qQnAXbRwDjblViy.jpg,,,Hayao Miyazaki,2026-04-20 18:14:09.488695
497,The Green Mile,The Green Mile,en,"A supernatural tale set on death row in a Southern prison, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the cell block's head guard, Paul Edgecomb, recognizes Coffey's miraculous gift, he tries desperately to help stave off the condemned man's execution.",Paul Edgecomb didn't believe in miracles. Until the day he met one.,Released,http://thegreenmile.warnerbros.com/,tt0120689,189,60000000,286801374,27.8367,8.5,19097,1999-12-10,False,False,/8VG8fDNiy50H4FedGwdSVUPoaJe.jpg,/b6HWTOxn1xevvyHU2K9ICvaRU6g.jpg,,,Frank Darabont,2026-04-20 18:14:09.982740
122,The Lord of the Rings: The Return of the King,The Lord of the Rings: The Return of the King,en,"As armies mass for a final battle that will decide the fate of the world--and powerful, ancient forces of Light and Dark compete to determine the outcome--one member of the Fellowship of the Ring is revealed as the noble heir to the throne of the Kings of Men. Yet, the sole hope for triumph over evil lies with a brave hobbit, Frodo, who, accompanied by his loyal friend Sam and the hideous, wretched Gollum, ventures deep into the very dark heart of Mordor on his seemingly impossible quest to destroy the Ring of Power.​",The eye of the enemy is moving.,Released,http://www.lordoftherings.net,tt0167260,201,94000000,1118888979,33.4367,8.496,26348,2003-12-17,False,False,/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg,/2u7zbn8EudG6kLlBzUYqP8RyFU4.jpg,119,The Lord of the Rings Collection,Peter Jackson,2026-04-20 18:14:10.362423
120,The Lord of the Rings: The Fellowship of the Ring,The Lord of the Rings: The Fellowship of the Ring,en,"Young hobbit Frodo Baggins, after inheriting a mysterious ring from his uncle Bilbo, must leave his home in order to keep it from falling into the hands of its evil creator. Along the way, a fellowship is formed to protect the ringbearer and make sure that the ring arrives at its final destination: Mt. Doom, the only place where it can be destroyed.",One ring to rule them all.,Released,http://www.lordoftherings.net/,tt0120737,179,93000000,871368364,33.9804,8.431,27348,2001-12-18,False,False,/6oom5QYQ2yQTMJIbnvbkBL9cHo6.jpg,/a0lfia8tk8ifkrve0Tn8wkISUvs.jpg,119,The Lord of the Rings Collection,Peter Jackson,2026-04-20 18:14:10.967351
40096,A Dog's Will,O Auto da Compadecida,pt,"The lively João Grilo and the sly Chicó are poor guys living in the hinterland who cheat a bunch of people in a small town in Northeastern Brazil. When they die, they have to be judged by Christ, the Devil and the Virgin Mary before they are admitted to paradise.",Lying with faith is not always a sin.,Released,,tt0271383,104,0,4903192,5.9552,8.419,1212,2000-09-15,False,False,/z9Au9XtK0ARzkKGsZCzMkmKgMPf.jpg,/alQqTpmEkxSLgajfEYTsTH6nAKB.jpg,1219938,O Auto da Compadecida: Coleção,Guel Arraes,2026-04-20 18:14:11.611847
121,The Lord of the Rings: The Two Towers,The Lord of the Rings: The Two Towers,en,"Frodo Baggins and the other members of the Fellowship continue on their sacred quest to destroy the One Ring--but on separate paths. Their destinies lie at two towers--Orthanc Tower in Isengard, where the corrupt wizard Saruman awaits, and Sauron's fortress at Barad-dur, deep within the dark lands of Mordor. Frodo and Sam are trekking to Mordor to destroy the One Ring of Power while Gimli, Legolas and Aragorn search for the orc-captured Merry and Pippin. All along, nefarious wizard Saruman awaits the Fellowship members at the Orthanc Tower in Isengard.",The journey continues.,Released,http://www.lordoftherings.net/,tt0167261,179,79000000,926287400,25.8225,8.415,23721,2002-12-18,False,False,/5VTN0pR8gcqV3EPUHHfMGnJYN9L.jpg,/kWYfW2Re0rUDE6IHhy4CRuKWeFr.jpg,119,The Lord of the Rings Collection,Peter Jackson,2026-04-20 18:14:11.962951
4935,Howl's Moving Castle,ハウルの動く城,ja,"Sophie, a young milliner, is turned into an elderly woman by a witch who enters her shop and curses her. She encounters a wizard named Howl and gets caught up in his resistance to fighting for the king.",The two lived there.,Released,https://gkids.com/films/howls-moving-castle/,tt0347149,119,24000000,236049757,23.9173,8.388,10971,2004-09-09,False,False,/13kOl2v0nD2OLbVSHnHk8GUFEhO.jpg,/nv5wwZou159v5OC61i4ElR7OqyY.jpg,,,Hayao Miyazaki,2026-04-20 18:14:12.608911
1218925,Chainsaw Man - The Movie: Reze Arc,劇場版 チェンソーマン レゼ篇,ja,"In a brutal war between devils, hunters, and secret enemies, a mysterious girl named Reze has stepped into Denji's world, and he faces his deadliest battle yet, fueled by love in a world where survival knows no rules.",,Released,https://chainsawman.movie,tt30472557,99,4100000,174502910,29.6382,8.3,799,2025-09-19,False,False,/pHyxb2RV5wLlboAwm9ZJ9qTVEDw.jpg,/kfXgo2rMF1A19celCwLyQ4Xwpf8.jpg,1544712,Chainsaw Man Collection,Tatsuya Yoshihara,2026-04-20 18:14:13.189520
128,Princess Mononoke,もののけ姫,ja,"Ashitaka, a prince of the disappearing Emishi people, is cursed by a demonized boar god and must journey to the west to find a cure. Along the way, he encounters San, a young human woman fighting to protect the forest, and Lady Eboshi, who is trying to destroy it. Ashitaka must find a way to bring balance to this conflict.",The fate of the world rests on the courage of one warrior.,Released,http://www.princess-mononoke.com/,tt0119698,134,23500000,176506186,15.5974,8.325,8905,1997-07-12,False,False,/cMYCDADoLKLbB83g4WnJegaZimC.jpg,/gl0jzn4BupSbL2qMVeqrjKkF9Js.jpg,,,Hayao Miyazaki,2026-04-20 18:14:13.774890
620249,The Legend of Hei,罗小黑战记,zh,"When cat spirit Luo Xiaohei's home is deforested by humans, he must find a new one. He runs into a group of other spirit creatures who take him under their wing with dreams of reconquering the land they say is rightfully theirs. However, they run into a human known as Wuxian who separates Luo Xiaohei from the other spirits and the two go on a journey, with the cat spirit learning to control his abilities as well as forming his own thoughts on whether or not he should ally with the spirits or the humans.",One Small Spirit Will Determine the Fate of the World.,Released,https://luoxiaohei-movie.com/,tt10734928,102,0,48045728,8.6008,8.301,449,2019-08-27,False,False,/4jfbKKLpqts3i2h2obkrONcjTg1.jpg,/aVFx1VtlOxR3v0ADEatalXOvwbu.jpg,1444577,The Legend of Hei Collection,MTJJ,2026-04-20 18:14:14.175599
533514,Violet Evergarden: The Movie,劇場版 ヴァイオレット・エヴァーガーデン,ja,"As the world moves on from the war and technological advances bring changes to her life, Violet still hopes to see her lost commanding officer again.",,Released,https://www.netflix.com/title/81193214,tt8652818,140,0,20339624,8.2958,8.301,499,2020-09-18,False,False,/bajajkoErDst0JxdFyBkABiF9rW.jpg,/wGwSWDG3LIQxchg2M8HV7bDqYKU.jpg,1431054,Violet Evergarden Collection,Taichi Ishidate,2026-04-20 18:14:14.479635
1585,It's a Wonderful Life,It's a Wonderful Life,en,"George Bailey has spent his entire life giving to the people of Bedford Falls.  All that prevents rich skinflint Mr. Potter from taking over the entire town is George's modest building and loan company.  But on Christmas Eve the business's $8,000 is lost and George's troubles begin.",It's a wonderful laugh! It's a wonderful love!,Released,,tt0038650,131,3180000,9644124,13.3956,8.3,4859,1946-12-20,False,False,/bSqt9rhDZx1Q7UZ86dBPKdNomp2.jpg,/3q35nBLCIdEbxYfsr7D5ocYQXKz.jpg,,,Frank Capra,2026-04-20 18:14:14.962917
1139087,Once Upon a Studio,Once Upon a Studio,en,"Created for Disney's 100th anniversary, the short features Mickey Mouse corralling a gallery of legendary Disney characters for a group photo.",100 years of Disney magic comes together.,Released,https://goojara.day/,tt28035641,9,0,0,8.5187,8.276,422,2023-09-24,False,False,/aiy3G1cYWV3LgKZHY6a3jL8bjYL.jpg,/hUeSuUxNyQivx2wrRvGoyZiZDUu.jpg,,,Trent Correy,2026-04-20 18:14:15.388440
18491,Neon Genesis Evangelion: The End of Evangelion,新世紀エヴァンゲリオン劇場版 Air／まごころを、君に,ja,"SEELE orders an all-out attack on NERV, aiming to destroy the Evas before Gendo can advance his own plans for the Human Instrumentality Project. Shinji is pushed to the limits of his sanity as he is forced to decide the fate of humanity.",The fate of destruction is also the joy of rebirth.,Released,https://gkids.com/films/end-of-evangelion,tt0169858,87,0,20563523,10.5768,8.261,1828,1997-07-19,False,False,/j6G24dqI4WgUtChhWjfnI4lnmiK.jpg,/xLMJCCSatxENpHO9rLW9yD8A12C.jpg,96850,Neon Genesis Evangelion Collection,Hideaki Anno,2026-04-20 18:14:15.808227
572154,Rascal Does Not Dream of a Dreaming Girl,青春ブタ野郎はゆめみる少女の夢を見ない,ja,"In Fujisawa, Sakuta Azusagawa is in his second year of high school. Blissful days with his girlfriend and upperclassman, Mai Sakurajima, are interrupted by the appearance of his first crush, Shoko Makinohara.",,Released,https://rascaldoesnotdream.com/dreaming-girl,tt9881586,90,0,0,6.7352,8.26,585,2019-06-15,False,False,/AtFnN4OztDJy8IFwYd5JfU0jlEM.jpg,/wIeNWRuBCdEBmWoDRcKputYV414.jpg,1073290,Rascal Does Not Dream Collection,Soichi Masui,2026-04-20 18:14:16.175889
92321,Hotarubi no Mori e,蛍火の杜へ,ja,"One hot summer day a little girl gets lost in an enchanted forest of the mountain god where spirits reside. A young boy appears before her, but she cannot touch him for fear of making him disappear. And so a wondrous adventure awaits...",,Released,,tt2061702,45,0,0,0.0073,8.253,1207,2011-09-17,False,False,/mDqzHV8UXWWNpZkoAbKmKX1ZxEE.jpg,/qknxyRgP6UTmwJ4B9tDAmzHMq7u.jpg,,,Takahiro Omori,2026-04-20 18:14:16.646802
110420,Wolf Children,おおかみこどもの雨と雪,ja,"After her werewolf lover unexpectedly dies in an accident, a woman must find a way to raise the son and daughter that she had with him. However, their inheritance of their father's traits prove to be a challenge for her.",Love wildly.,Released,https://gkids.com/films/wolf-children,tt2140203,117,0,55262158,5.7797,8.221,2455,2012-07-21,False,False,/3Nllh6JgcrFdtOn6iFOWHudNInd.jpg,/oMqgJMCaNIqeJtilc71D4nRqdmt.jpg,,,Mamoru Hosoda,2026-04-20 18:14:16.955983
618344,Justice League Dark: Apokolips War,Justice League Dark: Apokolips War,en,"Earth is decimated after intergalactic tyrant Darkseid has devastated the Justice League in a poorly executed war by the DC Super Heroes. Now the remaining bastions of good – the Justice League, Teen Titans, Suicide Squad and assorted others – must regroup, strategize and take the war to Darkseid in order to save the planet and its surviving inhabitants.",The war to end all wars.,Released,https://www.warnerbros.com/movies/justice-league-dark-apokolips-war,tt11079148,90,0,0,8.3707,8.203,1559,2020-05-05,False,False,/c01Y4suApJ1Wic2xLmaq1QYcfoZ.jpg,/miChhr7EXynB2R5JLvMcz2oBgi2.jpg,702342,Justice League Dark Collection,Matt Peters,2026-04-20 18:14:17.442971
315162,Puss in Boots: The Last Wish,Puss in Boots: The Last Wish,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",Say hola to his little friends.,Released,https://www.dreamworks.com/movies/puss-in-boots-the-last-wish,tt3915174,103,90000000,484700000,19.7036,8.201,8738,2022-12-07,False,False,/kuf6dutpsT0vSVehic3EZIqkOBt.jpg,/jr8tSoJGj33XLgFBy6lmZhpGQNu.jpg,94602,Puss in Boots Collection,Joel Crawford,2026-04-20 18:14:17.770861
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,劇場版「鬼滅の刃」無限列車編,ja,"Tanjiro Kamado, joined with Inosuke Hashibira, a boy raised by boars who wears a boar's head, and Zenitsu Agatsuma, a scared boy who reveals his true power when he sleeps, boards the Infinity Train on a new mission with the Fire Hashira, Kyojuro Rengoku, to defeat a demon who has been tormenting the people and killing the demon slayers who oppose it!","With your blade, bring an end to the nightmare.",Released,https://demonslayer-anime.com,tt11032374,117,15700000,523542183,10.934,8.199,4451,2020-10-16,False,False,/h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg,/xPpXYnCWfjkt3zzE0dpCNME1pXF.jpg,925155,Demon Slayer: Kimetsu no Yaiba Collection,Haruo Sotozaki,2026-04-20 18:14:18.308249
441130,Wolfwalkers,Wolfwalkers,en,"In a time of superstition and magic, when wolves are seen as demonic and nature an evil to be tamed, a young apprentice hunter comes to Ireland with her father to wipe out the last pack. But when she saves a wild native girl, their friendship leads her to discover the world of the Wolfwalkers and transform her into the very thing her father is tasked to destroy.",Be fierce. Be wild. Be free.,Released,https://gkids.com/films/wolfwalkers,tt5198068,102,12000000,1310720,12.3605,8.197,1358,2020-10-26,False,False,/vqGiNbdc2sDwsnivMMYzwAoSSu6.jpg,/3zTbERSBLh7waK9811RTKGAcG86.jpg,,,Tomm Moore,2026-04-20 18:14:18.907244
537061,Steven Universe: The Movie,Steven Universe: The Movie,en,"Two years after bringing peace to the galaxy, Steven Universe sees his past come back to haunt him in the form of a deranged Gem who wants to destroy the Earth.",The true kinda love.,Released,https://www.stevenuniversethemovie.com/,tt10515852,83,0,0,4.2559,8.173,848,2019-10-07,False,False,/8mRgpubxHqnqvENK4Bei30xMDvy.jpg,/re3ZvlKJg04iLpLRf1xTKHS2wLU.jpg,,,Rebecca Sugar,2026-04-20 18:14:19.402534
