movie_id,iso_639_1,name,english_name
129,ja,日本語,Japanese
497,fr,Français,French
497,en,English,English
122,en,English,English
120,en,English,English
40096,la,Latin,Latin
40096,pt,Português,Portuguese
121,en,English,English
4935,ja,日本語,Japanese
1218925,ja,日本語,Japanese
128,ja,日本語,Japanese
620249,zh,普通话,Mandarin
533514,ja,日本語,Japanese
1585,en,English,English
1139087,en,English,English
18491,ja,日本語,Japanese
572154,ja,日本語,Japanese
92321,ja,日本語,Japanese
110420,ja,日本語,Japanese
618344,en,English,English
315162,en,English,English
315162,es,Español,Spanish
635302,ja,日本語,Japanese
441130,ga,Gaeilge,Irish
441130,en,English,English
537061,en,English,English
490,sv,svenska,Swedish
476292,ja,日本語,Japanese
592350,ja,日本語,Japanese
980477,zh,普通话,Mandarin
810693,ja,日本語,Japanese
149871,ja,日本語,Japanese
508442,en,English,English
791373,en,English,English
823219,xx,No Language,No Language
664767,en,English,English
12445,en,English,English
610892,ja,日本語,Japanese
8392,ja,日本語,Japanese
663558,zh,普通话,Mandarin
663558,pt,Português,Portuguese
640344,it,Italiano,Italian
532067,ja,日本語,Japanese
518068,ko,한국어/조선말,Korean
638507,en,English,English
397567,ko,한국어/조선말,Korean
803796,en,English,English
803796,ko,한국어/조선말,Korean
555604,en,English,English
14696,ja,日本語,Japanese
673,en,English,English
110416,ga,Gaeilge,Irish
110416,fr,Français,French
110416,gl,Galego,Galician
110416,en,English,English
140420,en,English,English
568160,ja,日本語,Japanese
10515,ja,日本語,Japanese
81,ja,日本語,Japanese
29264,es,Español,Spanish
726684,fr,Français,French
1087192,en,English,English
315465,ja,日本語,Japanese
122906,en,English,English
14836,en,English,English
671,en,English,English
615453,zh,普通话,Mandarin
916224,ja,日本語,Japanese
183011,en,English,English
667520,ja,日本語,Japanese
505262,ja,日本語,Japanese
961323,en,English,English
32085,en,English,English
10191,en,English,English
33320,ja,日本語,Japanese
2062,en,English,English
2062,fr,Français,French
178682,en,English,English
178682,it,Italiano,Italian
16859,ja,日本語,Japanese
445030,ja,日本語,Japanese
9479,en,English,English
550205,zh,普通话,Mandarin
550205,en,English,English
22,en,English,English
83564,en,English,English
762,fr,Français,French
762,la,Latin,Latin
762,en,English,English
527774,en,English,English
674,en,English,English
674,fr,Français,French
11621,ja,日本語,Japanese
568012,ja,日本語,Japanese
5961,en,English,English
5961,de,Deutsch,German
5961,sv,svenska,Swedish
5961,yi,,Yiddish
508943,en,English,English
508943,it,Italiano,Italian
14069,ja,日本語,Japanese
14282,ja,日本語,Japanese
141,en,English,English
1417,es,Español,Spanish
144,tr,Türkçe,Turkish
144,he,עִבְרִית,Hebrew
144,de,Deutsch,German
144,ja,日本語,Japanese
144,fr,Français,French
144,en,English,English
144,es,Español,Spanish
808,en,English,English
28162,en,English,English
28162,fr,Français,French
28162,ru,Pусский,Russian
587,en,English,English
12429,ja,日本語,Japanese
24480,xx,No Language,No Language
15265,fr,Français,French
12516,ja,日本語,Japanese
12516,fr,Français,French
12516,en,English,English
12444,en,English,English
27670,it,Italiano,Italian
585511,en,English,English
10020,fr,Français,French
10020,en,English,English
30959,ja,日本語,Japanese
15916,ja,日本語,Japanese
162,en,English,English
672,en,English,English
843241,ja,日本語,Japanese
573699,zh,普通话,Mandarin
221732,ja,日本語,Japanese
2493,en,English,English
486589,ko,한국어/조선말,Korean
1311031,ja,日本語,Japanese
767,en,English,English
82702,en,English,English
539517,en,English,English
11787,en,English,English
506574,en,English,English
675,en,English,English
51739,ja,日本語,Japanese
413594,ja,日本語,Japanese
15999,en,English,English
653,xx,No Language,No Language
812,en,English,English
1062722,da,Dansk,Danish
1062722,en,English,English
1062722,fr,Français,French
508439,en,English,English
381289,en,English,English
137,en,English,English
137,fr,Français,French
137,it,Italiano,Italian
14784,en,English,English
14784,ro,Română,Romanian
14784,la,Latin,Latin
20123,it,Italiano,Italian
20123,sh,,Serbo-Croatian
309809,en,English,English
19101,fr,Français,French
19101,en,English,English
9444,en,English,English
9444,ru,Pусский,Russian
9444,fr,Français,French
4922,en,English,English
496450,fr,Français,French
496450,en,English,English
244,en,English,English
841755,en,English,English
502356,en,English,English
3933,en,English,English
630,en,English,English
27040,xx,No Language,No Language
976573,en,English,English
57158,en,English,English
568124,en,English,English
568124,es,Español,Spanish
221731,ja,日本語,Japanese
39323,ja,日本語,Japanese
9016,en,English,English
11688,en,English,English
514754,en,English,English
765,en,English,English
433,en,English,English
433471,xx,No Language,No Language
856,en,English,English
556901,en,English,English
507569,ja,日本語,Japanese
228326,en,English,English
127533,ja,日本語,Japanese
73456,en,English,English
16633,en,English,English
9495,en,English,English
59436,en,English,English
59436,fr,Français,French
59436,de,Deutsch,German
59436,es,Español,Spanish
601,en,English,English
648,fr,Français,French
566525,en,English,English
566525,zh,普通话,Mandarin
620,en,English,English
176983,ja,日本語,Japanese
1600,fr,Français,French
1600,it,Italiano,Italian
1600,pl,Polski,Polish
586940,fr,Français,French
11970,en,English,English
11970,es,Español,Spanish
11970,el,ελληνικά,Greek
9470,cn,广州话 / 廣州話,Cantonese
252,fr,Français,French
252,en,English,English
252,it,Italiano,Italian
252,de,Deutsch,German
599521,en,English,English
503919,en,English,English
9081,en,English,English
877703,en,English,English
877703,ko,한국어/조선말,Korean
251516,en,English,English
251516,de,Deutsch,German
251516,sv,svenska,Swedish
13189,en,English,English
293863,en,English,English
27327,en,English,English
347201,ja,日本語,Japanese
529216,es,Español,Spanish
42994,ja,日本語,Japanese
431580,en,English,English
11704,en,English,English
350312,te,తెలుగు,Telugu
529203,en,English,English
337703,xx,No Language,No Language
36685,en,English,English
36685,de,Deutsch,German
10437,en,English,English
666243,en,English,English
11236,en,English,English
137106,en,English,English
284052,en,English,English
492,fr,Français,French
492,en,English,English
76589,en,English,English
76589,es,Español,Spanish
508883,ja,日本語,Japanese
20982,ja,日本語,Japanese
994108,en,English,English
481432,it,Italiano,Italian
13382,en,English,English
487670,en,English,English
26963,en,English,English
20558,en,English,English
10849,en,English,English
628,en,English,English
628,fr,Français,French
265712,ja,日本語,Japanese
876716,en,English,English
876716,it,Italiano,Italian
20312,en,English,English
17681,en,English,English
271706,zh,普通话,Mandarin
58,en,English,English
58,tr,Türkçe,Turkish
58,el,ελληνικά,Greek
58,zh,普通话,Mandarin
83533,en,English,English
81188,fr,Français,French
81188,en,English,English
2899,de,Deutsch,German
2899,fr,Français,French
2899,ar,العربية,Arabic
2899,cn,广州话 / 廣州話,Cantonese
2899,la,Latin,Latin
36728,ja,日本語,Japanese
49051,en,English,English
4011,en,English,English
1427,en,English,English
876792,ja,日本語,Japanese
118406,ja,日本語,Japanese
297,nl,Nederlands,Dutch
297,en,English,English
417320,en,English,English
10144,en,English,English
10144,fr,Français,French
21348,fr,Français,French
2134,en,English,English
756,en,English,English
831405,en,English,English
122917,en,English,English
17581,ja,日本語,Japanese
493529,en,English,English
560057,en,English,English
425909,en,English,English
25623,ja,日本語,Japanese
755339,pt,Português,Portuguese
809107,en,English,English
866,en,English,English
508947,cn,广州话 / 廣州話,Cantonese
508947,zh,普通话,Mandarin
508947,ko,한국어/조선말,Korean
508947,fr,Français,French
508947,en,English,English
30061,it,Italiano,Italian
30061,en,English,English
892,fr,Français,French
809,en,English,English
922,cr,,Cree
922,en,English,English
259316,en,English,English
26736,en,English,English
13688,cn,广州话 / 廣州話,Cantonese
