movie_id,title,release_date,rating,popularity,release_year,genres,category,decade
129,Spirited Away,2001-07-20,8.5,30.4319,2001.0,"Animation, Family, Fantasy",Fairy Tale,2000
497,The Green Mile,1999-12-10,8.5,27.8367,1999.0,"Fantasy, Drama, Crime",Fantasy Epic,1990
122,The Lord of the Rings: The Return of the King,2003-12-17,8.5,33.4367,2003.0,"Adventure, Fantasy, Action",Sword and Sorcery,2000
120,The Lord of the Rings: The Fellowship of the Ring,2001-12-18,8.4,33.9804,2001.0,"Adventure, Fantasy, Action",Sword and Sorcery,2000
40096,A Dog's Will,2000-09-15,8.4,5.9552,2000.0,"Comedy, Drama, Fantasy, Romance",Fantasy Epic,2000
121,The Lord of the Rings: The Two Towers,2002-12-18,8.4,25.8225,2002.0,"Adventure, Fantasy, Action",Sword and Sorcery,2000
4935,Howl's Moving Castle,2004-09-09,8.4,23.9173,2004.0,"Fantasy, Animation, Adventure",Fantasy Epic,2000
1218925,Chainsaw Man - The Movie: Reze Arc,2025-09-19,8.3,29.6382,2025.0,"Animation, Action, Romance, Fantasy",Sword and Sorcery,2020
128,Princess Mononoke,1997-07-12,8.3,15.5974,1997.0,"Adventure, Fantasy, Animation",Fantasy Epic,1990
620249,The Legend of Hei,2019-08-27,8.3,8.6008,2019.0,"Animation, Fantasy, Action",Sword and Sorcery,2010
533514,Violet Evergarden: The Movie,2020-09-18,8.3,8.2958,2020.0,"Animation, Drama, Fantasy, Romance",Fantasy Epic,2020
1585,It's a Wonderful Life,1946-12-20,8.3,13.3956,1946.0,"Drama, Family, Fantasy",Fantasy Epic,1940
1139087,Once Upon a Studio,2023-09-24,8.3,8.5187,2023.0,"Animation, Family, Fantasy, Drama, Comedy",Fairy Tale,2020
18491,Neon Genesis Evangelion: The End of Evangelion,1997-07-19,8.3,10.5768,1997.0,"Animation, Sci-Fi, Drama, Fantasy",Fantasy Epic,1990
572154,Rascal Does Not Dream of a Dreaming Girl,2019-06-15,8.3,6.7352,2019.0,"Animation, Romance, Drama, Fantasy",Fantasy Epic,2010
92321,Hotarubi no Mori e,2011-09-17,8.3,0.0073,2011.0,"Romance, Animation, Fantasy",Fantasy Epic,2010
110420,Wolf Children,2012-07-21,8.2,5.7797,2012.0,"Animation, Family, Drama, Fantasy",Fairy Tale,2010
618344,Justice League Dark: Apokolips War,2020-05-05,8.2,8.3707,2020.0,"Animation, Action, Adventure, Fantasy",Sword and Sorcery,2020
315162,Puss in Boots: The Last Wish,2022-12-07,8.2,19.7036,2022.0,"Animation, Adventure, Fantasy, Comedy, Family",Fairy Tale,2020
635302,Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,2020-10-16,8.2,10.934,2020.0,"Animation, Action, Fantasy",Sword and Sorcery,2020
441130,Wolfwalkers,2020-10-26,8.2,12.3605,2020.0,"Animation, Family, Adventure, Fantasy",Fairy Tale,2020
537061,Steven Universe: The Movie,2019-10-07,8.2,4.2559,2019.0,"Animation, Family, Adventure, Fantasy",Fairy Tale,2010
490,The Seventh Seal,1957-02-16,8.2,5.5328,1957.0,"Fantasy, Drama",Fantasy Epic,1950
476292,Maquia: When the Promised Flower Blooms,2018-02-24,8.2,5.2535,2018.0,"Animation, Fantasy, Drama",Fantasy Epic,2010
592350,My Hero Academia: Heroes Rising,2019-12-20,8.1,6.2527,2019.0,"Animation, Action, Fantasy, Adventure",Sword and Sorcery,2010
980477,Ne Zha 2,2025-01-29,8.1,24.4864,2025.0,"Animation, Fantasy, Adventure",Fantasy Epic,2020
810693,Jujutsu Kaisen 0,2021-12-24,8.1,14.3492,2021.0,"Animation, Action, Fantasy",Sword and Sorcery,2020
149871,The Tale of The Princess Kaguya,2013-11-23,8.1,5.8256,2013.0,"Animation, Drama, Fantasy",Fantasy Epic,2010
508442,Soul,2020-12-25,8.1,14.536,2020.0,"Animation, Family, Drama, Fantasy",Fairy Tale,2020
791373,Zack Snyder's Justice League,2021-03-18,8.1,14.7682,2021.0,"Action, Adventure, Fantasy",Sword and Sorcery,2020
